Rooms,Footage,Rent,address,title,description,street,city,canton,Address_Latitude,Address_Longitude,City_Latitude,City_Longitude,Distance_to_City_Center(km)
2.5,76,1570,"Bärenweidstrasse 10, 8833 Samstagern, ZH",«Schöne Wohnung an ruhiger Lage»,,Bärenweidstrasse 10,8833 Samstagern,ZH,47.19358935,8.679441651622074,47.1921592,8.6775862,0.21200198421400718
2.0,52,1950,"Höfliweg 17, 8055 Zürich, ZH",«2 Zimmer Dachwohnung»,,Höfliweg 17,8055 Zürich,ZH,47.3688891,8.5087783,47.3744489,8.5410422,2.5070728190756326
2.5,87,1820,"Wändhüslenstrasse 9, 8608 Bubikon, ZH",«Ruhige 2.5 Zimmer Whg. im 2 Stock mit grossem Balkon gedeckt»,,Wändhüslenstrasse 9,8608 Bubikon,ZH,47.28031395,8.817703094170927,47.2682923,8.8191613,1.341265891183416
5.5,95,3050,"Friedheimstrasse 7, 8404 Winterthur, ZH",«5.5 Zimmer Einfamilien-Haus mit Garten»,,Friedheimstrasse 7,8404 Winterthur,ZH,47.5036734,8.754184667378826,47.4991723,8.7291498,1.9460843249628772
3.0,70,1200,"Chesslerstrasse 4, 8477 Oberstammheim, ZH",«3 Zimmer Wohnung»,,Chesslerstrasse 4,8477 Oberstammheim,ZH,47.6317293,8.79690501176149,47.6317749,8.7986032,0.12735214807501602
4.5,92,1870,"Dättlikonerstr. 3c, 8422 Pfungen, ZH",«Gemütliche Wohnung mit grossem Balkon»,,Dättlikonerstr. 3c,8422 Pfungen,ZH,47.51779645,8.637884707021854,47.5161123,8.6454232,0.5962948194506456
4.5,109,2420,"Finsterrütistrasse 17A, 8134 Adliswil, ZH",«Die perfekte Familienwohnung»,Per 16.06.2023 sind wir auf der Suche nach einer neuen Mieterschaft für diese hübsche 4.5-Zimmerwohnung. Das Objekt befindet sich in gepflegter Umgebung und bietet Ihnen die folgende Ausstattung:- Wohnbereich mit Parkettboden- moderne Küche mit Plattenboden- mit Geschirrspüler - mit Granitabdeckung - helles Badezimmer/WC - separate Dusche/WC- Einbauschrank- Balkon- Kellerabteil- LiftDie Bilder entsprechen dem Ausbaustandard und können leicht vom angebotenen Objekt abweichen. Die genaue Raumaufteilung können Sie dem angefügten Grundrissplan entn,Finsterrütistrasse 17A,8134 Adliswil,ZH,47.3006493,8.5269091,47.3117624,8.52491,1.244879259223157
3.5,85,1830,"Im Guet 10, 8172 Niederglatt ZH, ZH",«Grosszügige Wohnung in parkähnlicher Umgebung»,"Diese Liegenschaft mit ihren attraktiven und sonnigen Wohnungen liegt in einer parkähnlichen Gartenanlage und direkt am Ufer der Glatt. Per 1. August 2023 suchen wir sympathische neue Mieter für diese stilvolle 3.5-Zimmerwohnung, welche im Sommer 2013 saniert wurde und Ihnen den folgenden Ausbaustandard bietet:- grosszügig konzipiert- Wohnräume mit Eichen-Parkettboden- neue, moderne Küche - mit Glaskeramikherd- mit Geschirrspüler- mit Backofen auf Sichthöhe- mit Granitabdeckung - helles, modernes Badezimmer / WC- Réduit- Lift - Einbauschränke -",Im Guet 10,8172 Niederglatt ZH,ZH,47.4924009,8.5030302,47.4873408,8.5035526,0.5640248906849417
2.5,66,1970,"Hätzlergasse 28, 8048 Zürich, ZH",«Grosszügige und frisch sanierte Wohnung mit Flair - befristet für 1 Jahr.»,"Wir vermieten eine helle 2.5-Zimmerwohnung befristet für 1 Jahr an ruhiger Lage mit Gartensitzplatz, welche sich bestens für Paare ohne Kinder eignet. Die Liegenschaft wurde im Jahr 2014 komplett saniert und bietet Ihnen folgenden Ausbaustandard:- helle Wohn- und Schlafzimmer - mit Parkettboden- moderne Küche - mit Glaskeramikkochherd- mit Geschirrspüler- mit Granitabdeckung- WC mit Badewanne- und Tageslicht- Sitzplatz - Lift- Kellerabteil Bei den Fotos handelt es sich um Musterbilder, die den Ausbaustandard darstellen. Die genaue Raumaufteilun",Hätzlergasse 28,8048 Zürich,ZH,47.39048855,8.468465107332122,47.3744489,8.5410422,5.748046023503272
5.5,145,3210,"Obstgartenstr. 12, 8136 Gattikon, ZH",«Schön und grosszügig Wohnen!»,"Wir vermieten per 01. April 2023 oder nach Vereinbarung diese schöne 5.5 Zimmer-Wohnung.Hier einige Vorteile: - Wohn- und Esszimmerboden mit Steinplatten- Schlaf- und Kinderzimmerboden mit Laminat- Korridor, und Nasszellen mit Steinplatten- Bad/WC mit Badewanne- Dusche/WC- Küche mit Glaskeramikkochfeld, Geschirrspüler und Kühl- und separatem Gefrierschrank- Praktische Einbauschränke im Eingangsbereich- Eigener Waschturm im Bad (WM / TU)- Cheminée im Wohnzimmer- Kleiner und grosser Gartensitzplatz- Lift vorhanden- Kinderfreundliche und gepflegte",Obstgartenstr. 12,8136 Gattikon,ZH,47.2826337,8.550426746908865,47.2843053,8.5487611,0.22435441670637568
3.5,82,2100,"Sonnenmatt 3, 8136 Gattikon, ZH",«Attraktive Wohnung an ruhiger Lage!»,"In einer ansprechenden Liegenschaft vermieten wir diese helle 3.5-Zimmerwohnung, die Ihnen unter anderem den folgenden Ausbaustandard bietet:- Wohnbereich mit Parkettboden- Korridor und Essecke mit Klinkerboden- grosse Küche mit Fenster und kleinem Nordbalkon- mit Plattenherd, grossem Kühlschrank- Schlafzimmer mit neuem Linoleumboden- Bad/WC- Balkon nach Süden- Kellerabteil- kein Lift- kleine Haustiere gestattetBei den Bildern handelt es sich um Musterbilder, die vom angebotenen Objekt abweichen können. Die genaue Raumaufteilung entnehmen Sie b",Sonnenmatt 3,8136 Gattikon,ZH,47.2839048,8.545338405056178,47.2843053,8.5487611,0.2619885870010261
3.5,84,2990,"Leubergstrasse 13, 8615 Wermatswil, ZH",«Königliches Wohnen mit ebensolcher Aussicht»,,Leubergstrasse 13,8615 Wermatswil,ZH,47.3622274,8.742084514215687,47.3623284,8.7445885,0.18893190805544766
3.5,84,1950,"Spycherweg 11, 8155 Niederhasli, ZH",«3 1/2 Zimmer-Wohnung an ruhiger Lage»,,Spycherweg 11,8155 Niederhasli,ZH,47.4707434,8.4856226,47.47728625677083,8.485517277604167,0.7275755424995307
4.5,145,2250,"Obstgartenstrasse 3, 8187 Weiach, ZH",«Grosszügige und heimelige Maisonettewohnung in ländlicher Idylle»,"Wohnträume werden wahr in Weiach! Einziehen und sich wohlfühlen: diese neuwertige, attraktive 4.5-Zimmer Wohnung mit einem originellem Grundriss auf grosszügigen 145 Quadratmetern bietet Raum für individuelle Wohnformen und kreative Einrichtungsideen. Der moderne, hochwertige Innenausbau vermittelt eine edle Wertigkeit. Helle Parkettböden und die mit weiss lasiertem Holz verkleideten, spielerisch in den Wohnraum integrierten Dachschrägen sorgen für Behaglichkeit. Grosse, von der Decke bis zum Boden reichende Fensterfronten erzeugen ein helles,",Obstgartenstrasse 3,8187 Weiach,ZH,47.5554622,8.437953499999999,47.5565844,8.4375683,0.1280872791713859
